cytoband	9p21.3	1p36.31	4q34.3	2q37.3	11q22.3	3p22.1	16q24.2	14q11.2	11q23.3	6q25.3	19q13.42	19p13.3	22q12.2	2q22.1	2p12	5p15.33	5q35.2	6p12.3	10q21.1	15q13.3	14q24.2	
		RBP7									ZNF345				GTF2A1L		OR2V1			UNC13C	GALC	
		ACAP3									PRKD2				STON1		HAVCR1			MIR422A	GCH1	
		UBE2J2									ZNF473				EMILIN1		CYFIP2			CKMT1A	GMFB	
		C1orf172									CCDC9				GPN1		PKD2L2			SERINC4	GPX2	
		LRRC38									PRPF31				MAPRE3		AFF4			C15orf62	GSTZ1	
		AADACL3									IRF2BP1				RPIA		PRELID1			GOLGA8N	GTF2A1	
		PUSL1									FGF21				SLC4A1AP		IL17B			C15orf56	BRF1	
		B3GALT6									ZNF285				SNRNP200		MAT2B			PHGR1	GZMH	
		IFFO2									SIGLEC7				MYT1L		SLC27A6			MIR147B	GZMB	
		TPRG1L									LYPD3				WDR43		SNX24			ANKRD63	HIF1A	
		FAM213B									BBC3				LPIN1		MRPL22			JMJD7	FOXA1	
		MYOM3									DKKL1				CEP68		PCDHB1			PLA2G4B	HNRNPC	
		KLHDC7A									SIGLEC9				PSME4		TLX3			POTEB2	HSPA2	
		VWA5B1									SIGLEC8				EXOC6B		KCNIP1			MIR1282	HSP90AA1	
		ARHGEF19									C5AR2				EHBP1		ZNF354C			MIR4508	IFI27	
		ACTRT2									CHMP2A				PUM2		TMED7			MIR4510	ITPK1	
		MIB2									DHDH				NCAPH		ISOC1			MIR4716	JAG2	
		C1orf127									ZNF544				HAAO		RPL26L1			MIR4713	KLC1	
		SAMD11									EIF3K				TMEM131		SAR1B			MIR4712	KTN1	
		PHF13									UBE2S				WBP1		C5orf45			GCOM1	LGALS3	
		CCDC27									SLC6A16				NTSR2		DCTN4			POTEB	LTBP2	
		C1orf213									LGALS13				PRKD3		MZB1				MARK3	
		PDIK1L									CYP2S1				RASGRP3		PAIP2				MAX	
		SLC2A7									TFPT				QPCT		CDKL3				MGAT2	
		CALML6									STRN4				VAX2		PCDH12				CTAGE5	
		IFNLR1									EPN1				POLR1A		FAM13B				ATXN3	
		FAM43B									SERTAD3				CNRIP1		FAM53C				MAP3K9	
		PAQR7									GLTSCR2				FAM98A		REEP2				MMP14	
		FAM76A									GLTSCR1				RAB11FIP5		PRR16				ALDH6A1	
		TMEM201									EHD2				IFT172		COMMD10				MNAT1	
		C1orf86									KLK14				CNNM4		DDX41				MTHFD1	
		ATAD3C									KLK12				SH3YL1		NOP16				MYH6	
		AKR7L									SHANK1				NFU1		LARS				MYH7	
		TTLL10									NOSIP				ERLEC1		CXXC5				NEDD8	
		TMCO4									ZNF580				BMP10		UIMC1				NFATC4	
		ZNF683									HSD17B14				ZNF638		RAPGEF6				NFKBIA	
		MDS2									GP6				HTRA2		ERAP1				NOVA1	
		NPHP4									VRK3				EML4		KDM3B				NRL	
		SLC25A34									ZNF571				TRIB2		PHAX				OTX2	
		C1orf174									ZNF581				LGALSL		RAB24				OXA1L	
		KLHL17									PTOV1				GRHL1		RBM27				PAX9	
		TMEM52									RAB4B				NRBP1		NEURL1B				SERPINA5	
		AADACL4									PAF1				KCNIP3		FAM193B				PCK2	
		PRAMEF5									PPP1R12C				CD207		TMED9				PGF	
		HNRNPCL1									TRPM4				ITSN2		ZCCHC10				SERPINA1	
		PRAMEF9									ZNF586				TPRKB		CDHR2				SERPINA4	
		PRAMEF10									QPCTL				FAHD2A		GIN1				PIGH	
		FAM131C									FAM83E				WDPCP		SPDL1				PNN	
		SPATA21									EPS8L1				MEMO1		TMCO6				POLE2	
		AGRN									RASIP1				TRAPPC12		TRIM36				PPM1A	
		CATSPER4									SARS2				CRIM1		GALNT10				PPP2R5C	
		GPR153									TMEM160				ANKRD39		NHP2				PRKCH	
		FAM132A									PIH1D1				FAM178B		RBM22				PRKD1	
		HES5									SAMD4B				DNAJC27		RIOK2				LGMN	
		SMIM1									ATP5SL				KRCC1		RNF130				PSEN1	
		RNF207									C19orf73				MRPL35		PCDHGC5				PSMA3	
		TMEM82									PNMAL1				ATRAID		PCDHGC4				PSMA6	
		TRNP1									TMEM143				PCYOX1		PCDHGB7				PSMB5	
		CD164L2									ZNF444				VPS54		PCDHGB6				PSMC1	
		HES3									ZNF331				NBAS		PCDHGB3				PSMC6	
		PRAMEF12									KLK15				DYNC2LI1		PCDHGB2				PSME1	
		PRAMEF21									MED29				SF3B14		PCDHGB1				PSME2	
		PRAMEF8									NLRP2				YPEL5		PCDHGA11				PTGDR	
		PRAMEF17									ZNF416				CPSF3		PCDHGA10				PTGER2	
		TMEM200B									ZNF446				BCL11A		PCDHGA9				ABCD4	
		PRAMEF4									ZNF701				SNTG2		PCDHGA7				PYGL	
		PRAMEF13									ZNF83				ATAD2B		PCDHGA6				RABGGTA	
		SH2D5									ZNF415				ETAA1		PCDHGA5				RAD51B	
		NCMAP									SMG9				HEATR5B		PCDHGA4				MOK	
		PRAMEF3									IRGC				AFTPH		PCDHGA3				ARID4A	
		LDLRAD2									SPHK2				TMEM214		PCDHGA2				RNASE1	
		MIR200A									LGALS14				RETSAT		PCDHGA1				RNASE2	
		MIR200B									EXOSC5				SEMA4C		PCDHB15				RNASE3	
		MIR34A									MEIS3				SLC35F6		PCDHB14				RNASE4	
		PRAMEF11									CEACAM19				C2orf42		PCDHB13				RNASE6	
		PRAMEF6									SLC17A7				TRMT61B		PCDHB12				RPS29	
		MINOS1									NAT14				PTCD3		PCDHB11				RTN1	
		ANKRD65									CD177				FANCL		PCDHB10				SALL2	
		PRAMEF7									VN1R1				SRBD1		PCDHB8				SEL1L	
		MIR429									RCN3				ASXL2		PCDHB7				SRSF5	
		TMEM88B									ZNF304				ADI1		PCDHB6				SLC8A3	
		C1orf233									TTYH1				THNSL2		PCDHB4				SNAPC1	
		C1orf200									PNMAL2				NDUFAF7		PCDHB3				SOS2	
		PRAMEF19									PRR12				NAGK		PCDHB2				SPTB	
		PRAMEF20									ZNF471				TTC27		PCDHAC2				SRP54	
		LACTBL1									LRFN1				SLC30A6		PCDHAC1				SSTR1	
		PRAMEF22									USP29				KANSL3		PCDHA13				STYX	
		PRAMEF15									PLEKHA4				CCDC88A		PCDHA12				TEP1	
		PRAMEF16									ZNF529				KDM3A		PCDHA11				TGM1	
		CDK11A									PRX				ALLC		PCDHA10				TNFAIP2	
		SLC35E2B									SPTBN4				GKN1		PCDHA8				TRAF3	
		C1orf234									MARK4				CYP26B1		PCDHA7				TSHR	
		OR4F29									CATSPERG				KCMF1		PCDHA6				VRK1	
		MIR4253									SCAF1				DPYSL5		PCDHA5				WARS	
		MIR1273D									CACNG8				PNO1		PCDHA4				XRCC3	
		MIR4252									CACNG7				STARD7		PCDHA3				DPF3	
		MIR3917									CACNG6				RTN4		PCDHA2				GPR68	
		MIR3675									ZNF350				TRIM54		PCDHA1				TCL1A	
		APITD1									TSKS				PELI1		NMUR2				GEMIN2	
		MIR4419A									ZNF667				TTC7A		FEM1C				NUMB	
		MIR4425									DMRTC2				SMEK2		C5orf15				ADAM21	
		MIR4689									C19orf33				BIRC6		CDC42SE2				ADAM20	
		MIR4418									ELSPBP1				KIDINS220		TRPC7				DLK1	
		MIR4417									LIN7B				MTA3		KIAA1191				DCAF5	
		MIR378F									HIF3A				WDR35		ERGIC1				ALKBH1	
		MIR5697									ZNF574				RDH14		CLK4				EIF2B2	
											PLEKHG2				SLC4A5		TENM2				AP1G2	
											ZNF649				NLRC4		CNOT6				SLC7A7	
											ZSCAN18				AGBL5		ZNF608				MTA1	
											RPL23AP79				C2orf43		SEMA6A				NEMF	
											TSEN34				THADA		PCDHB16				PNMA1	
											TRAPPC6A				ATL2		HMHB1				RPS6KA5	
											MBOAT7				ABCG5		C5orf54				TRIP11	
											FKRP				ABCG8		EPB41L4A				CPNE6	
											ZSCAN5A				HS1BP3		ERAP2				AKAP6	
											ZNF329				TTC31		NSD1				AKAP5	
											TBC1D17				RMND5A		SIL1				SPTLC2	
											ZNF419				FNDC4		ARAP3				BAG5	
											GEMIN7				PAPOLG		RMND5B				C14orf2	
											ISOC2				MRPS5		FBXL17				CDC42BPB	
											MYH14				REEP1		YTHDC2				TCL1B	
											ZNF665				COLEC11		RANBP17				RGS6	
											ZNF552				CENPO		GRAMD3				KIAA0391	
											ZNF671				GALNT14		PCYOX1L				KIAA0247	
											ZNF613				CCDC121		CCNJL				KIAA0586	
											ADCK4				SMC6		SAP30L				DLGAP5	
											CNTD2				CLIP4		TXNDC15				AREL1	
											ZNF702P				CAMKMT		MCTP1				TOX4	
											ZNF606				NOL10		BTNL8				TECPR2	
											ZNF614				ANKRD53		DOK3				GOLGA5	
											FUZ				LRRTM4		ZFP2				REC8	
											OPA3				FBXO11		RUFY1				MED6	
											ITPKC				C2orf44		CPEB4				PARP2	
											B9D2				THUMPD2		PRR7				CNIH	
											RSPH6A				FAM49A		NDFIP1				DHRS2	
											ZNF611				LMAN2L		FBXO38				GPHN	
											MED25				LBH		YIPF5				EFS	
											TEX101				TCF7L1		TRIM7				IRF9	
											WDR87				INO80B		TIGD6				PRMT5	
											CCDC8				WDR54		SPRY4				SEC23A	
											ZNF541				FAM161A		MXD3				VTI1B	
											SYT3				EVA1A		NUDT12				FBLN5	
											AKT1S1				ANTXR1		SLC4A9				BATF	
											ZNF528				ELMOD3		SLC25A2				TM9SF1	
											BRSK1				C2orf16		SPATA9				SIVA1	
											ZNF527				PRADC1		TSSK1B				NPC2	
											CNFN				ZNF512		PSD2				AHSA1	
											ZNF347				KIAA1841		ANKRD32				EXOC5	
											ZNF577				MCEE		THOC3				CGRRF1	
											ZNF607				LOXL3		MEGF10				CYP46A1	
											SUV420H2				ABHD1		SPINK7				EDDM3A	
											C19orf48				ZNF514		HAVCR2				DHRS4	
											ZBTB45				FAM136A		PHYKPL				PAPOLA	
											ZNF382				EPT1		SMIM3				ACOT2	
											ZNF587				LBX2		TSLP				TMED10	
											FIZ1				PNPT1		FCHSD1				FERMT2	
											ZNF566				MCFD2		UNC5A				RIPK3	
											GALP				ATP6V1E2		C5orf30				PTPN21	
											SIGLEC10				DHX57		LYRM7				AP4S1	
											SIGLEC12				PKDCC		TRIM41				WDHD1	
											ZNF628				RSAD2		SLC25A46				BAZ1A	
											ZNF551				CAPN13		BOD1				MAP4K5	
											CEACAM21				DRC1		CDKN2AIPNL				SUPT16H	
											ZNF616				HNRNPLL		COL23A1				NID2	
											ZNF766				NT5C1B		TIMD4				VASH1	
											CCDC97				NEURL3		ZNF300				ATG14	
											EXOC3L2				SFXN5		MYOZ3				ZBTB1	
											ZNF468				LINC00152		UBTD2				SNW1	
											ZNF160				CCDC104		SCGB3A1				ACIN1	
											CTU1				TEX261		PRDM6				PCNX	
											ZNF835				CCDC85A		FTMT				DAAM1	
											YIF1B				KLHL29		SFXN1				SAMD4A	
											ZNF765				WDR92		FNIP1				TTLL5	
											NLRP12				PPP1R21		SLC35A4				FAM179B	
											MYADM				TRABD2A		GPRIN1				RCOR1	
											ZNF845				TMEM150A		PWWP2A				SYNE2	
											ZNF461				CMPK2		C1QTNF2				PACS2	
											ZNF585B				C2orf73		MARCH3				SCFD1	
											TIMM50				TRIM43		SCGB3A2				KHNYN	
											SHKBP1				CIB4		SLCO6A1				ANGEL1	
											CCDC114				REG3G		C5orf47				PPP1R13B	
											ACPT				CLHC1		PPARGC1B				DICER1	
											CGB5				PLEKHH2		PRRC1				SLC7A8	
											CGB7				OSR1		ZNF474				ZFYVE26	
											LENG9				TTC32		OR2Y1				TTC9	
											CGB8				ZNF513		POU5F2				KLHDC2	
											GNG8				GALM		AFAP1L1				FLRT2	
											PPP1R14A				TMEM178A		GRPEL2				HECTD1	
											EGLN2				C2orf50		STARD4				HEATR5A	
											BIRC8				PQLC3		WDR36				NGDN	
											FAM71E1				AHSA2		UBLCP1				LRP10	
											RDH13				M1AP		SOWAHA				PLEKHG3	
											PTH2				TEKT4		SHROOM1				SIPA1L1	
											ZIM3				SMYD1		C5orf24				DCAF4	
											SIGLEC11				PROM2		C5orf20				KIF26A	
											CGB1				FBXO41		SLC36A2				TMEM251	
											CGB2				GPAT2		CREBRF				TINF2	
											LMTK3				ITPRIPL1		CEP120				PLEK2	
											LENG8				GAREML		SLC25A48				TIMM9	
											FBXO17				PUS10		SRFBP1				OR10G3	
											KIR3DL3				PLB1		ZMAT2				OR10G2	
											RASGRP4				FAHD2B		BTNL9				OR4E2	
											ZNF526				MYADML		ARSK				TCL6	
											ZNF837				FAM84A		FAM81B				MLH3	
											CLDND2				RMDN2		CCDC112				ATP5S	
											ZNF816				ASPRV1		FAM71B				KCNH5	
											ZNF543				GPR113		PRELID2				CIDEB	
											COX6B2				OXER1		SH3RF2				CHMP4A	
											OSCAR				FAM179A		PLAC8L1				STXBP6	
											JOSD2				CLEC4F		RNF145				GPR132	
											IZUMO2				DQX1		DCP2				POMT2	
											CPT1C				KCNG3		LIX1				STRN3	
											ALDH16A1				CYS1		ADAMTS19				SLC39A2	
											NTN5				VWA3B		HIGD2A				COQ6	
											NLRP13				ALMS1P		SPATA24				EMC9	
											NLRP8				TET3		DNAJC18				ATL1	
											NLRP5				GKN2		FAM153B				FCF1	
											ZNF787				TEX37		C5orf27				RDH11	
											ZNF573				ANKRD23		STK32A				SERPINA10	
											EID2B				APLF		AQPEP				NIN	
											IRGQ				KRTCAP3		SLC36A1				ZNF219	
											ZNF428				TMEM17		RASGEF1C				COX16	
											RINL				SPRED2		EFCAB9				GMPR2	
											FBXO27				SPDYA		SH3PXD2B				SLC22A17	
											C19orf47				ATP6V1C2		FAM153A				DACT1	
											ZFP28				RNASEH1		KIAA0825				EVL	
											VSIG10L				LCLAT1		RELL2				GSKIP	
											LINC00085				GPATCH11		SLC36A3				CINP	
											ZNF480				SH2D6		KIF4B				MBIP	
											ZNF534				FAM150B		OR2V2				DHRS7	
											ZNF578				C2orf61		ZNF454				C14orf166	
											C19orf18				DNAJC5G		C5orf60				ASB2	
											ZNF418				C2orf70		RGMB				SIX4	
											KLC3				C2orf53		RFESD				ZFYVE1	
											IGSF23				LINC00299		CHSY3				CPSF2	
											LYPD4				MSGN1		FAM170A				GNG2	
											TMEM190				FIGLA		ARSI				KLHL28	
											HIPK4				CDKL4		PFN3				TMEM260	
											TMC4				LRRTM1		IRGM				HAUS4	
											TPM3P9				GEN1		FAM174A				PPP2R3C	
											ZNF524				C2orf48		CATSPER3				PRPF39	
											ZNF784				FAM228B		NIPAL4				C14orf119	
											CCDC155				ANKRD36		SLCO4C1				FBXO34	
											DACT3				MFSD2B		DND1				CDCA4	
											SIX5				C2orf71		SIMC1				NRDE2	
											IGFL2				TMEM247		C5orf48				RNF31	
											ZNF420				TSPYL6		PROB1				ATG2B	
											NLRP4				C2orf78		C5orf46				RBM23	
											ZNF542				BOLA3		ARHGEF37				UBR7	
											ZNF582				FUNDC2P2		SPINK6				DNAAF2	
											ZNF583				SULT6B1		ANKHD1				C14orf105	
											FAM98C				LINC00487		MIR143				EXD2	
											CAPN12				C2orf91		MIR145				VRTN	
											LGALS16				EML6		MIR146A				MIS18BP1	
											TTC9B				PAIP2B		SPINK14				SLC39A9	
											CDC42EP5				RGPD1		FNDC9				G2E3	
											ZNF569				MIR216A		C5orf56				FLVCR2	
											ZNF570				MIR217		IGIP				OSGEP	
											ZNF836				ASTL		CTXN3				GPATCH2L	
											ZNF610				CAPN14		GRXCR2				SMEK1	
											ZNF320				CHAC2		SPINK9				ARHGEF40	
											ZNF497				FAM228A		ZFP62				BTBD7	
											ZNF550				RAD51AP2		CCNI2				AP5M1	
											ZNF296				MORN2		CBY3				TDP1	
											DEDD2				MIR216B		FAM153C				ZNF839	
											ZNF579				OST4		MIR583				SPATA7	
											ZNF114				ARHGEF33		FAM196B				EAPP	
											ZNF567				MIR1301		C5orf52				YLPM1	
											ZNF383				MIR4264		MIR1303				METTL3	
											ZNF781				MIR4261		TICAM2				LTB4R2	
											ZNF780B				MIR4262		MIR3141				KCNK13	
											ZNF540				MIR3681		MIR3912				SDR39U1	
											ZNF525				CHMP3		MIR3936				DDX24	
											SPACA4				MIR4433		MIR3661				RPGRIP1	
											ZNF585A				MIR4757		MIR4634				ADCK1	
											NLRP7				MIR4436A		MIR378H				TMEM63C	
											GGN				MIR4431		MIR4460				PELI2	
											CADM4				MIR4780		MIR4638				RHOJ	
											ZNF584				MIR4778		MIR5197				NDRG2	
											ZSCAN4				MIR4429		MIR5692C1				GALNT16	
											NLRP11				MIR4432						PLEKHH1	
											TMEM86B				MIR548AD						NYNRIN	
											PRR24				MIR5000						TXNDC16	
											ZNF549				MIR5192						TRMT5	
											IL4I1										UNC79	
											IFNL2										HOMEZ	
											IFNL3										BEGAIN	
											IFNL1										CHD8	
											SSC5D										FANCM	
											ZNF547										PPP4R4	
											ZIK1										CCNB1IP1	
											ZNF776										ZNF410	
											ZSCAN1										NGB	
											ZNF780A										RBM25	
											C19orf54										SNX6	
											PRR19										SAV1	
											TMEM145										C14orf93	
											LYPD5										ABHD4	
											ZNF283										VIPAS39	
											PPP1R37										NPAS3	
											NKPD1										SMOC1	
											TPRX1										MOAP1	
											MAMSTR										EDDM3B	
											IZUMO1										IRF2BPL	
											EMC10										MPP5	
											KLK9										CDH24	
											SIGLECL1										INF2	
											ZNF615										PCNXL4	
											ZNF841										METTL17	
											ZFP82										IL25	
											VSTM1										GNPNAT1	
											TMEM150B										BCL11B	
											FAM71E2										OTUB2	
											HKR1										ZFYVE21	
											VN1R2										THTPA	
											VN1R4										OR4K5	
											NLRP9										WDR25	
											ZNF260										OR4K1	
											ZNF546										METTL21D	
											MYPOP										LINC00341	
											NANOS2										ZC2HC1C	
											ZNF850										IPO4	
											NCCRP1										CLMN	
											SYCN										CATSPERB	
											LEUTX										ZC3H14	
											ZNF404										RIN3	
											C19orf81										L2HGDH	
											ZNF677										C14orf159	
											RFPL4A										CCDC176	
											ZSCAN5B										NUBPL	
											ZSCAN22										DCAF11	
											SELV										TMEM121	
											ZNF530										DDHD1	
											DNAAF3										OR4K15	
											ZNF233										SGPP1	
											LILRA5										AMN	
											ZNF829										SLIRP	
											ZNF568										DNAL1	
											B3GNT8										RPS6KL1	
											IGFL1										SYT16	
											ZNF773										IFI27L2	
											CEACAM16										FSCB	
											BLOC1S3										SETD3	
											IGFL3										BRMS1L	
											ZNF808										HHIPL1	
											ZNF470										JPH4	
											ZNF749										C14orf142	
											ZNF324B										RNASE7	
											ZNF793										INSM2	
											PAPL										RAB2B	
											PINLYP										AJUBA	
											ZNF880										STON2	
											ZNF772										ZFHX2	
											IGLON5										KIAA1737	
											MIRLET7E										PAPLN	
											MIR125A										FAM181A	
											MIR150										BTBD6	
											MIR99B										EFCAB11	
											PSG8										LRRC16B	
											TARM1										PPP1R3E	
											MIR371A										TMEM55B	
											MIR372										CHURC1	
											MIR373										ELMSAN1	
											IGFL4										NEK9	
											DPRX										EXOC3L4	
											ASPDH										WDR20	
											MIR498										MAPK1IP1L	
											MIR520E										EGLN3	
											MIR519E										DTD2	
											MIR520F										IFT43	
											MIR519C										L3HYPDH	
											MIR520A										AHNAK2	
											MIR526B										TRIM9	
											MIR519B										TRMT61A	
											MIR525										DHRS1	
											MIR523										CMTM5	
											MIR518F										MIA2	
											MIR520B										TDRD9	
											MIR518B										ANKRD9	
											MIR526A1										AK7	
											MIR520C										IFI27L1	
											MIR518C										C14orf28	
											MIR524										TRAPPC6B	
											MIR517A										PLD4	
											MIR519D										ADSSL1	
											MIR520D										RNASE11	
											MIR517B										TPPP2	
											MIR520G										MRPL52	
											MIR516B2										PSMB11	
											MIR526A2										OR4K14	
											MIR518E										OR4L1	
											MIR518A1										OR11H6	
											MIR518D										LRR1	
											MIR516B1										KLHDC1	
											MIR518A2										FRMD6	
											MIR517C										SOCS4	
											MIR520H										NOXRED1	
											MIR522										JDP2	
											MIR519A1										TTC8	
											MIR527										TC2N	
											MIR516A1										SLC25A29	
											MIR516A2										KLHL33	
											MIR519A2										RPL10L	
											TMEM91										RDH12	
											SBK2										GSC	
											LGALS7B										SERPINA12	
											PHLDB3										PRIMA1	
											MIR641										MIPOL1	
											CCDC61										PPP1R36	
											SHISA7										SLC38A6	
											MIR769										ABHD12B	
											SIGLEC14										PTGR2	
											SGK110										FAM161B	
											BSPH1										C14orf166B	
											SRRM5										ISM2	
											ZNF587B										CEP128	
											MIR1323										MDP1	
											MIR3191										TTC7B	
											MIR4323										LRFN5	
											PPP5D1										FAM71D	
											ZNF865										TMEM229B	
											MIR4530										SYNE3	
											MIR4754										CLEC14A	
											MIR4752										FITM1	
																					REM2	
																					TMEM30B	
																					MDGA2	
																					NOP9	
																					EML5	
																					SPTSSA	
																					ADCY4	
																					C14orf183	
																					RALGAPA1	
																					SFTA3	
																					NUDT14	
																					LINC00521	
																					SERPINA11	
																					C14orf182	
																					GPR137C	
																					PROX2	
																					ZDHHC22	
																					C14orf178	
																					C14orf177	
																					SLC25A47	
																					LINC00523	
																					TSSK4	
																					FAM177A1	
																					CEP170B	
																					C14orf80	
																					DHRS4L2	
																					C14orf39	
																					CCDC85C	
																					SERPINA9	
																					RNASE10	
																					VSX2	
																					OR6S1	
																					SLC35F4	
																					LRRC9	
																					COX8C	
																					ASPG	
																					RAB15	
																					C14orf23	
																					TOMM20L	
																					SERPINA13P	
																					C14orf64	
																					RTL1	
																					TMEM179	
																					OR4N2	
																					OR4K2	
																					OR4K13	
																					OR4K17	
																					OR4N5	
																					OR11G2	
																					OR11H4	
																					RNASE9	
																					OR5AU1	
																					HEATR4	
																					PLEKHD1	
																					C14orf180	
																					POTEG	
																					MIR127	
																					MIR136	
																					MIR154	
																					MIR203	
																					OR11H12	
																					RNASE13	
																					LINC00238	
																					CCDC88C	
																					OR4Q3	
																					OR4M1	
																					MIR323A	
																					MIR337	
																					MIR345	
																					MIR370	
																					RNASE12	
																					MIR381	
																					MIR431	
																					MIR323B	
																					MIR409	
																					MIR412	
																					MIR410	
																					MIR493	
																					MIR432	
																					MIR494	
																					MIR495	
																					MIR496	
																					MIR487A	
																					ACOT1	
																					ACOT6	
																					POTEM	
																					TMEM253	
																					CBLN3	
																					SYNDIG1L	
																					RD3L	
																					TEX22	
																					MIR539	
																					MIR544A	
																					MIR487B	
																					MIR411	
																					MIR625	
																					MIR654	
																					MIR655	
																					MIR656	
																					CCDC175	
																					MIR758	
																					MIR770	
																					MIR300	
																					MIR541	
																					MIR665	
																					MIR543	
																					MIR889	
																					DIO3OS	
																					MIR1260A	
																					MIR1197	
																					MIR548H1	
																					MIR1193	
																					MIR4309	
																					MIR3173	
																					MIR4307	
																					MIR548Y	
																					MIR4505	
																					MIR4708	
																					MIR151B	
																					MIR4710	
																					MIR4707	
																					MIR2392	
																					MIR5694	
																					MIR5580	
																					LINC00609	
