complex_disease	mendelian_disease	comorbidity
Deep Vein Thrombosis	Congenital Hydrocephalus	1
Deep Vein Thrombosis	Congenital Hypogammaglobulinemia	1
Deep Vein Thrombosis	Congenital Ichthyosis	1
Deep Vein Thrombosis	Cystic Fibrosis	1
Deep Vein Thrombosis	Degenerative Diseases of the Basal Ganglia	1
Deep Vein Thrombosis	Diamond-Blackfan Anemia	1
Deep Vein Thrombosis	Disorders of Aromatic Amino Acid Metabolism	1
Deep Vein Thrombosis	Disorders of Branched Chain Amino Acid Metabolism	1
Deep Vein Thrombosis	Disorders of Copper Metabolism	1
Deep Vein Thrombosis	Disorders of Phosphorous Metabolism	1
Deep Vein Thrombosis	Disorders of Straight Chain Amino Acid Metabolism	1
Deep Vein Thrombosis	Disorders of Urea Cycle Metabolism	1
Deep Vein Thrombosis	Dopa-Responsive Dystonia	1
Deep Vein Thrombosis	Erythromelalgia	1
Deep Vein Thrombosis	Facial and Skull Anomalies	1
Deep Vein Thrombosis	Familial Dysautonomia	1
Deep Vein Thrombosis	Familial Mediterranean Fever	1
Deep Vein Thrombosis	Friedreich Ataxia	1
Deep Vein Thrombosis	Genetic Anomalies of Leukocytes	1
Deep Vein Thrombosis	Glucose-6-Phosphate Dehydrogenase Deficiency	1
Deep Vein Thrombosis	Glycogenosis	1
Deep Vein Thrombosis	Haemophilia	1
Deep Vein Thrombosis	Hereditary Hemorrhagic Telangiectasia	1
Deep Vein Thrombosis	Hereditary Muscular Dystrophy	1
Deep Vein Thrombosis	Hereditary Sensory Neuropathy	1
Deep Vein Thrombosis	Hereditary Thrombocytopenic Purpura	1
Deep Vein Thrombosis	Holoprosencephaly	1
Deep Vein Thrombosis	Huntington Disease	1
Deep Vein Thrombosis	Hypopituitarism	1
Deep Vein Thrombosis	Immunodeficiency with Increased IgM	1
Deep Vein Thrombosis	Inherited Adrenogenital Disorders	1
Deep Vein Thrombosis	Inherited Anomalies of the Skin	1
Deep Vein Thrombosis	Li Fraumeni and Related Syndromes	1
Deep Vein Thrombosis	Lipoprotein Deficiencies	1
Deep Vein Thrombosis	Long QT Syndrome	1
Deep Vein Thrombosis	Marfan Syndrome	1
Deep Vein Thrombosis	Multiple Endocrine Neoplasia Type I	1
Deep Vein Thrombosis	Neurofibromatosis	1
Deep Vein Thrombosis	Non-Specified Osteodystrophy	1
Deep Vein Thrombosis	Osteogenesis Imperfecta	1
Deep Vein Thrombosis	Other Specified Disorders of Amino Acid Metabolism	1
Deep Vein Thrombosis	Pervasive, Specified Congenital Anomalies	1
Deep Vein Thrombosis	Polycystic Kidney, Autosomal Dominant	1
Deep Vein Thrombosis	Retinitis Pigmentosa	1
Deep Vein Thrombosis	Sensory Retina Dystropies	1
Deep Vein Thrombosis	Severe Combined Immunodeficiency	1
Deep Vein Thrombosis	Sickle Cell Anemia	1
Deep Vein Thrombosis	Specific Nail Anomalies	1
Deep Vein Thrombosis	Specified Anomalies of the Musculoskeletal System	1
Deep Vein Thrombosis	Specified Hamartoses	1
Deep Vein Thrombosis	Spinocerebellar Ataxia	1
Deep Vein Thrombosis	Systemic Primary Carnitine Deficiency	1
Deep Vein Thrombosis	Thalassemia	1
Deep Vein Thrombosis	Tongue Tie	1
Deep Vein Thrombosis	Tuberous Sclerosis	1
Deep Vein Thrombosis	Velo-Cardio-Facial Syndrome	1
Depression	Androgen Insensitivity Syndrome	1
Depression	Anophthalmos/Micropthalmos	1
Depression	Autoimmune Lymphoproliferative Syndrome	1
Depression	Autoimmune Polyglandular Syndrome	1
Depression	Bartter Syndrome	1
Depression	Cerebral Degeneration Due to Generalized Lipidoses	1
Depression	Cerebral Lipidoses	1
Depression	Chondrodystrophy	1
Depression	Chronic Granulomatous Disease	1
Depression	Circulating Enzyme Deficiencies	1
Depression	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Depression	Congenital Hydrocephalus	1
Depression	Congenital Hypogammaglobulinemia	1
Depression	Congenital Ichthyosis	1
Depression	Cystic Fibrosis	1
Depression	Degenerative Diseases of the Basal Ganglia	1
Depression	Diamond-Blackfan Anemia	1
Depression	Disorders of Aromatic Amino Acid Metabolism	1
Depression	Disorders of Copper Metabolism	1
Depression	Disorders of Phosphorous Metabolism	1
Depression	Disorders of Straight Chain Amino Acid Metabolism	1
Depression	Disorders of Urea Cycle Metabolism	1
Depression	Dopa-Responsive Dystonia	1
Depression	Erythromelalgia	1
Depression	Facial and Skull Anomalies	1
Depression	Familial Dysautonomia	1
Depression	Fragile-X Syndrome	1
Depression	Friedreich Ataxia	1
Depression	Genetic Anomalies of Leukocytes	1
Depression	Glucose-6-Phosphate Dehydrogenase Deficiency	1
Depression	Glycogenosis	1
Depression	Haemophilia	1
Depression	Hereditary Hemorrhagic Telangiectasia	1
Depression	Hereditary Muscular Dystrophy	1
Depression	Hereditary Sensory Neuropathy	1
Depression	Holoprosencephaly	1
Depression	Huntington Disease	1
Depression	Hypopituitarism	1
Depression	Immunodeficiency with Increased IgM	1
Depression	Inherited Adrenogenital Disorders	1
Depression	Inherited Anomalies of the Skin	1
Depression	Li Fraumeni and Related Syndromes	1
Depression	Lipoprotein Deficiencies	1
Depression	Long QT Syndrome	1
Depression	Marfan Syndrome	1
Depression	Multiple Endocrine Neoplasia Type I	1
Depression	Multiple Endocrine Neoplasia Type IIA	1
Depression	Neurofibromatosis	1
Depression	Non-Specified Osteodystrophy	1
Depression	Osteogenesis Imperfecta	1
Depression	Other Specified Disorders of Amino Acid Metabolism	1
Depression	Peroxisomal Disorders	1
Depression	Pervasive, Specified Congenital Anomalies	1
Depression	Phenylketonuria	1
Depression	Polycystic Kidney, Autosomal Dominant	1
Depression	Retinitis Pigmentosa	1
Depression	Sensory Retina Dystropies	1
Depression	Severe Combined Immunodeficiency	1
Depression	Sickle Cell Anemia	1
Depression	Specific Nail Anomalies	1
Depression	Specified Anomalies of the Musculoskeletal System	1
Depression	Specified Hamartoses	1
Depression	Spinocerebellar Ataxia	1
Depression	Systemic Primary Carnitine Deficiency	1
Depression	Thalassemia	1
Depression	Tongue Tie	1
Depression	Tuberous Sclerosis	1
Depression	Wiskott-Aldrich Syndrome	1
Dermatitis Herpetiformis	Congenital Ichthyosis	1
Dermatitis Herpetiformis	Inherited Anomalies of the Skin	1
Diabetes Insipidus	Anophthalmos/Micropthalmos	1
Diabetes Insipidus	Cerebral Degeneration Due to Generalized Lipidoses	1
Diabetes Insipidus	Chronic Granulomatous Disease	1
Diabetes Insipidus	Combined Heart and Skeletal Defects	1
Diabetes Insipidus	Congenital Hydrocephalus	1
Diabetes Insipidus	Cystic Fibrosis	1
Diabetes Insipidus	Degenerative Diseases of the Basal Ganglia	1
Diabetes Insipidus	Disorders of Phosphorous Metabolism	1
Diabetes Insipidus	Disorders of Straight Chain Amino Acid Metabolism	1
Diabetes Insipidus	Disorders of Urea Cycle Metabolism	1
Diabetes Insipidus	Dopa-Responsive Dystonia	1
Diabetes Insipidus	Facial and Skull Anomalies	1
Diabetes Insipidus	Familial Dysautonomia	1
Diabetes Insipidus	Haemophilia	1
Diabetes Insipidus	Hereditary Muscular Dystrophy	1
Diabetes Insipidus	Hereditary Sensory Neuropathy	1
Diabetes Insipidus	Holoprosencephaly	1
Diabetes Insipidus	Hypopituitarism	1
Diabetes Insipidus	Inherited Adrenogenital Disorders	1
Diabetes Insipidus	Inherited Anomalies of the Skin	1
Diabetes Insipidus	Lipoprotein Deficiencies	1
Diabetes Insipidus	Long QT Syndrome	1
Diabetes Insipidus	Neurofibromatosis	1
Diabetes Insipidus	Other Specified Disorders of Amino Acid Metabolism	1
Diabetes Insipidus	Pervasive, Specified Congenital Anomalies	1
Diabetes Insipidus	Sickle Cell Anemia	1
Diabetes Insipidus	Specified Hamartoses	1
Diabetes Insipidus	Spinocerebellar Ataxia	1
Diabetes Insipidus	Systemic Primary Carnitine Deficiency	1
Diabetes Mellitus Type 1	Androgen Insensitivity Syndrome	1
Diabetes Mellitus Type 1	Anophthalmos/Micropthalmos	1
Diabetes Mellitus Type 1	Autoimmune Polyglandular Syndrome	1
Diabetes Mellitus Type 1	Cerebral Degeneration Due to Generalized Lipidoses	1
Diabetes Mellitus Type 1	Chronic Granulomatous Disease	1
Diabetes Mellitus Type 1	Circulating Enzyme Deficiencies	1
Diabetes Mellitus Type 1	Combined Heart and Skeletal Defects	1
Diabetes Mellitus Type 1	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Diabetes Mellitus Type 1	Congenital Hypogammaglobulinemia	1
Diabetes Mellitus Type 1	Congenital Ichthyosis	1
Diabetes Mellitus Type 1	Cystic Fibrosis	1
Diabetes Mellitus Type 1	Degenerative Diseases of the Basal Ganglia	1
Diabetes Mellitus Type 1	Diamond-Blackfan Anemia	1
Diabetes Mellitus Type 1	Disorders of Aromatic Amino Acid Metabolism	1
Diabetes Mellitus Type 1	Disorders of Branched Chain Amino Acid Metabolism	1
Diabetes Mellitus Type 1	Disorders of Copper Metabolism	1
Diabetes Mellitus Type 1	Disorders of Phosphorous Metabolism	1
Diabetes Mellitus Type 1	Disorders of Straight Chain Amino Acid Metabolism	1
Diabetes Mellitus Type 1	Disorders of Urea Cycle Metabolism	1
Diabetes Mellitus Type 1	Dopa-Responsive Dystonia	1
Diabetes Mellitus Type 1	Erythromelalgia	1
Diabetes Mellitus Type 1	Facial and Skull Anomalies	1
Diabetes Mellitus Type 1	Friedreich Ataxia	1
Diabetes Mellitus Type 1	Genetic Anomalies of Leukocytes	1
Diabetes Mellitus Type 1	Glucose-6-Phosphate Dehydrogenase Deficiency	1
Diabetes Mellitus Type 1	Glycogenosis	1
Diabetes Mellitus Type 1	Haemophilia	1
Diabetes Mellitus Type 1	Hereditary Hemorrhagic Telangiectasia	1
Diabetes Mellitus Type 1	Hereditary Muscular Dystrophy	1
Diabetes Mellitus Type 1	Hereditary Sensory Neuropathy	1
Diabetes Mellitus Type 1	Holoprosencephaly	1
Diabetes Mellitus Type 1	Hypopituitarism	1
Diabetes Mellitus Type 1	Immunodeficiency with Increased IgM	1
Diabetes Mellitus Type 1	Inherited Adrenogenital Disorders	1
Diabetes Mellitus Type 1	Inherited Anomalies of the Skin	1
Diabetes Mellitus Type 1	Lipoprotein Deficiencies	1
Diabetes Mellitus Type 1	Long QT Syndrome	1
Diabetes Mellitus Type 1	Multiple Endocrine Neoplasia Type I	1
Diabetes Mellitus Type 1	Multiple Endocrine Neoplasia Type IIA	1
Diabetes Mellitus Type 1	Non-Specified Osteodystrophy	1
Diabetes Mellitus Type 1	Osteogenesis Imperfecta	1
Diabetes Mellitus Type 1	Other Specified Disorders of Amino Acid Metabolism	1
Diabetes Mellitus Type 1	Pervasive, Specified Congenital Anomalies	1
Diabetes Mellitus Type 1	Phenylketonuria	1
Diabetes Mellitus Type 1	Polycystic Kidney, Autosomal Dominant	1
Diabetes Mellitus Type 1	Retinitis Pigmentosa	1
Diabetes Mellitus Type 1	Sensory Retina Dystropies	1
Diabetes Mellitus Type 1	Severe Combined Immunodeficiency	1
Diabetes Mellitus Type 1	Sickle Cell Anemia	1
Diabetes Mellitus Type 1	Specific Nail Anomalies	1
Diabetes Mellitus Type 1	Specified Anomalies of the Musculoskeletal System	1
Diabetes Mellitus Type 1	Specified Hamartoses	1
Diabetes Mellitus Type 1	Spinocerebellar Ataxia	1
Diabetes Mellitus Type 1	Systemic Primary Carnitine Deficiency	1
Diabetes Mellitus Type 1	Thalassemia	1
Diabetes Mellitus Type 1	Tongue Tie	1
Diabetes Mellitus Type 1	Tuberous Sclerosis	1
Diabetes Mellitus Type 2	Androgen Insensitivity Syndrome	1
Diabetes Mellitus Type 2	Anophthalmos/Micropthalmos	1
Diabetes Mellitus Type 2	Autoimmune Lymphoproliferative Syndrome	1
Diabetes Mellitus Type 2	Autoimmune Polyglandular Syndrome	1
Diabetes Mellitus Type 2	Bartter Syndrome	1
Diabetes Mellitus Type 2	Cerebral Degeneration Due to Generalized Lipidoses	1
Diabetes Mellitus Type 2	Chronic Granulomatous Disease	1
Diabetes Mellitus Type 2	Circulating Enzyme Deficiencies	1
Diabetes Mellitus Type 2	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Diabetes Mellitus Type 2	Congenital Hirschsprung Disease	1
Diabetes Mellitus Type 2	Congenital Hypogammaglobulinemia	1
Diabetes Mellitus Type 2	Congenital Ichthyosis	1
Diabetes Mellitus Type 2	Congenital Pigmentary Anomalies	1
Diabetes Mellitus Type 2	Cystic Fibrosis	1
Diabetes Mellitus Type 2	Degenerative Diseases of the Basal Ganglia	1
Diabetes Mellitus Type 2	Diamond-Blackfan Anemia	1
Diabetes Mellitus Type 2	Disorders of Aromatic Amino Acid Metabolism	1
Diabetes Mellitus Type 2	Disorders of Branched Chain Amino Acid Metabolism	1
Diabetes Mellitus Type 2	Disorders of Copper Metabolism	1
Diabetes Mellitus Type 2	Disorders of Fatty Acid Oxidation	1
Diabetes Mellitus Type 2	Disorders of Phosphorous Metabolism	1
Diabetes Mellitus Type 2	Disorders of Straight Chain Amino Acid Metabolism	1
Diabetes Mellitus Type 2	Disorders of Urea Cycle Metabolism	1
Diabetes Mellitus Type 2	Dopa-Responsive Dystonia	1
Diabetes Mellitus Type 2	Erythromelalgia	1
Diabetes Mellitus Type 2	Facial and Skull Anomalies	1
Diabetes Mellitus Type 2	Familial Dysautonomia	1
Diabetes Mellitus Type 2	Familial Mediterranean Fever	1
Diabetes Mellitus Type 2	Fragile-X Syndrome	1
Diabetes Mellitus Type 2	Friedreich Ataxia	1
Diabetes Mellitus Type 2	Genetic Anomalies of Leukocytes	1
Diabetes Mellitus Type 2	Glucose-6-Phosphate Dehydrogenase Deficiency	1
Diabetes Mellitus Type 2	Glycogenosis	1
Diabetes Mellitus Type 2	Haemophilia	1
Diabetes Mellitus Type 2	Hereditary Hemorrhagic Telangiectasia	1
Diabetes Mellitus Type 2	Hereditary Muscular Dystrophy	1
Diabetes Mellitus Type 2	Hereditary Sensory Neuropathy	1
Diabetes Mellitus Type 2	Hereditary Thrombocytopenic Purpura	1
Diabetes Mellitus Type 2	Holoprosencephaly	1
Diabetes Mellitus Type 2	Huntington Disease	1
Diabetes Mellitus Type 2	Hypopituitarism	1
Diabetes Mellitus Type 2	Immunodeficiency with Increased IgM	1
Diabetes Mellitus Type 2	Inherited Adrenogenital Disorders	1
Diabetes Mellitus Type 2	Inherited Anomalies of the Skin	1
Diabetes Mellitus Type 2	Li Fraumeni and Related Syndromes	1
Diabetes Mellitus Type 2	Lipoprotein Deficiencies	1
Diabetes Mellitus Type 2	Long QT Syndrome	1
Diabetes Mellitus Type 2	Marfan Syndrome	1
Diabetes Mellitus Type 2	Multiple Endocrine Neoplasia Type I	1
Diabetes Mellitus Type 2	Multiple Endocrine Neoplasia Type IIA	1
Diabetes Mellitus Type 2	Neurofibromatosis	1
Diabetes Mellitus Type 2	Non-Specified Osteodystrophy	1
Diabetes Mellitus Type 2	Osteogenesis Imperfecta	1
Diabetes Mellitus Type 2	Other Specified Disorders of Amino Acid Metabolism	1
Diabetes Mellitus Type 2	Polycystic Kidney, Autosomal Dominant	1
Diabetes Mellitus Type 2	Retinitis Pigmentosa	1
Diabetes Mellitus Type 2	Sensory Retina Dystropies	1
Diabetes Mellitus Type 2	Severe Combined Immunodeficiency	1
Diabetes Mellitus Type 2	Sickle Cell Anemia	1
Diabetes Mellitus Type 2	Specific Nail Anomalies	1
Diabetes Mellitus Type 2	Specified Anomalies of the Musculoskeletal System	1
Diabetes Mellitus Type 2	Specified Hamartoses	1
Diabetes Mellitus Type 2	Spinocerebellar Ataxia	1
Diabetes Mellitus Type 2	Systemic Primary Carnitine Deficiency	1
Diabetes Mellitus Type 2	Thalassemia	1
Diabetes Mellitus Type 2	Tongue Tie	1
Diabetes Mellitus Type 2	Velo-Cardio-Facial Syndrome	1
Eczema	Androgen Insensitivity Syndrome	1
Eczema	Anophthalmos/Micropthalmos	1
Eczema	Anterior Eye Anomalies	1
Eczema	Autoimmune Lymphoproliferative Syndrome	1
Eczema	Autoimmune Polyglandular Syndrome	1
Eczema	Bartter Syndrome	1
Eczema	Cerebral Degeneration Due to Generalized Lipidoses	1
Eczema	Cerebral Lipidoses	1
Eczema	Chondrodystrophy	1
Eczema	Chronic Granulomatous Disease	1
Eczema	Chronic Progressive External Ophthalmoplegia	1
Eczema	Circulating Enzyme Deficiencies	1
Eczema	Combined Heart and Skeletal Defects	1
Eczema	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Eczema	Congenital Ectodermal Dysplasia	1
Eczema	Congenital Hirschsprung Disease	1
Eczema	Congenital Hydrocephalus	1
Eczema	Congenital Hypogammaglobulinemia	1
Eczema	Congenital Ichthyosis	1
Eczema	Congenital Pigmentary Anomalies	1
Eczema	Cri-Du-Chat Syndrome	1
Eczema	Cystic Fibrosis	1
Eczema	Degenerative Diseases of the Basal Ganglia	1
Eczema	Diamond-Blackfan Anemia	1
Eczema	Disorders of Aromatic Amino Acid Metabolism	1
Eczema	Disorders of Branched Chain Amino Acid Metabolism	1
Eczema	Disorders of Copper Metabolism	1
Eczema	Disorders of Fatty Acid Oxidation	1
Eczema	Disorders of Phosphorous Metabolism	1
Eczema	Disorders of Straight Chain Amino Acid Metabolism	1
Eczema	Disorders of Urea Cycle Metabolism	1
Eczema	Dopa-Responsive Dystonia	1
Eczema	Erythromelalgia	1
Eczema	Facial and Skull Anomalies	1
Eczema	Familial Dysautonomia	1
Eczema	Familial Mediterranean Fever	1
Eczema	Fragile-X Syndrome	1
Eczema	Friedreich Ataxia	1
Eczema	Genetic Anomalies of Leukocytes	1
Eczema	Glucose-6-Phosphate Dehydrogenase Deficiency	1
Eczema	Glycogenosis	1
Eczema	Haemophilia	1
Eczema	Hereditary Color Blindness	1
Eczema	Hereditary Hemorrhagic Telangiectasia	1
Eczema	Hereditary Muscular Dystrophy	1
Eczema	Hereditary Sensory Neuropathy	1
Eczema	Hereditary Thrombocytopenic Purpura	1
Eczema	Holoprosencephaly	1
Eczema	Huntington Disease	1
Eczema	Hypopituitarism	1
Eczema	Immunodeficiency with Increased IgM	1
Eczema	Inherited Adrenogenital Disorders	1
Eczema	Inherited Anomalies of the Skin	1
Eczema	Li Fraumeni and Related Syndromes	1
Eczema	Lipoprotein Deficiencies	1
Eczema	Long QT Syndrome	1
Eczema	Marfan Syndrome	1
Eczema	Multiple Endocrine Neoplasia Type I	1
Eczema	Neurofibromatosis	1
Eczema	Non-Specific Autosomal Deletion Syndromes	1
Eczema	Non-Specified Osteodystrophy	1
Eczema	Osteogenesis Imperfecta	1
Eczema	Other Specified Disorders of Amino Acid Metabolism	1
Eczema	Pervasive, Specified Congenital Anomalies	1
Eczema	Phenylketonuria	1
Eczema	Polycystic Kidney, Autosomal Dominant	1
Eczema	Retinitis Pigmentosa	1
Eczema	Rett Syndrome	1
Eczema	Sensory Retina Dystropies	1
Eczema	Severe Combined Immunodeficiency	1
Eczema	Sickle Cell Anemia	1
Eczema	Smith-Magenis Syndrome	1
Eczema	Specific Nail Anomalies	1
Eczema	Specified Anomalies of the Musculoskeletal System	1
Eczema	Specified Hamartoses	1
Eczema	Spinocerebellar Ataxia	1
Eczema	Systemic Primary Carnitine Deficiency	1
Eczema	Thalassemia	1
Eczema	Tongue Tie	1
Eczema	Tuberous Sclerosis	1
Eczema	Velo-Cardio-Facial Syndrome	1
Eczema	Wiskott-Aldrich Syndrome	1
Emphysema	Cerebral Degeneration Due to Generalized Lipidoses	1
Emphysema	Chronic Granulomatous Disease	1
Emphysema	Circulating Enzyme Deficiencies	1
Emphysema	Combined Heart and Skeletal Defects	1
Emphysema	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Emphysema	Congenital Hydrocephalus	1
Emphysema	Congenital Hypogammaglobulinemia	1
Emphysema	Congenital Ichthyosis	1
Emphysema	Cystic Fibrosis	1
Emphysema	Degenerative Diseases of the Basal Ganglia	1
Emphysema	Diamond-Blackfan Anemia	1
Emphysema	Disorders of Copper Metabolism	1
Emphysema	Disorders of Phosphorous Metabolism	1
Emphysema	Disorders of Straight Chain Amino Acid Metabolism	1
Emphysema	Disorders of Urea Cycle Metabolism	1
Emphysema	Dopa-Responsive Dystonia	1
Emphysema	Genetic Anomalies of Leukocytes	1
Emphysema	Glucose-6-Phosphate Dehydrogenase Deficiency	1
Emphysema	Haemophilia	1
Emphysema	Hereditary Hemorrhagic Telangiectasia	1
Emphysema	Hereditary Muscular Dystrophy	1
Emphysema	Hereditary Sensory Neuropathy	1
Emphysema	Holoprosencephaly	1
Emphysema	Huntington Disease	1
Emphysema	Hypopituitarism	1
Emphysema	Immunodeficiency with Increased IgM	1
Emphysema	Inherited Adrenogenital Disorders	1
Emphysema	Inherited Anomalies of the Skin	1
Emphysema	Lipoprotein Deficiencies	1
Emphysema	Long QT Syndrome	1
Emphysema	Marfan Syndrome	1
Emphysema	Multiple Endocrine Neoplasia Type I	1
Emphysema	Neurofibromatosis	1
Emphysema	Non-Specified Osteodystrophy	1
Emphysema	Osteogenesis Imperfecta	1
Emphysema	Pervasive, Specified Congenital Anomalies	1
Emphysema	Polycystic Kidney, Autosomal Dominant	1
Emphysema	Retinitis Pigmentosa	1
Emphysema	Severe Combined Immunodeficiency	1
Emphysema	Sickle Cell Anemia	1
Emphysema	Specific Nail Anomalies	1
Emphysema	Specified Hamartoses	1
Emphysema	Spinocerebellar Ataxia	1
Emphysema	Thalassemia	1
Emphysema	Tongue Tie	1
Emphysema	Tuberous Sclerosis	1
Epilepsy	Anophthalmos/Micropthalmos	1
Epilepsy	Anterior Eye Anomalies	1
Epilepsy	Autoimmune Lymphoproliferative Syndrome	1
Epilepsy	Autoimmune Polyglandular Syndrome	1
Epilepsy	Bartter Syndrome	1
Epilepsy	Cerebral Degeneration Due to Generalized Lipidoses	1
Epilepsy	Cerebral Lipidoses	1
Epilepsy	Chondrodystrophy	1
Epilepsy	Chronic Granulomatous Disease	1
Epilepsy	Circulating Enzyme Deficiencies	1
Epilepsy	Combined Heart and Skeletal Defects	1
Epilepsy	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Epilepsy	Congenital Ectodermal Dysplasia	1
Epilepsy	Congenital Hirschsprung Disease	1
Epilepsy	Congenital Hydrocephalus	1
Epilepsy	Congenital Hypogammaglobulinemia	1
Epilepsy	Congenital Ichthyosis	1
Epilepsy	Congenital Pigmentary Anomalies	1
Epilepsy	Cri-Du-Chat Syndrome	1
Epilepsy	Cystic Fibrosis	1
Epilepsy	Degenerative Diseases of the Basal Ganglia	1
Epilepsy	Diamond-Blackfan Anemia	1
Epilepsy	Disorders of Aromatic Amino Acid Metabolism	1
Epilepsy	Disorders of Branched Chain Amino Acid Metabolism	1
Epilepsy	Disorders of Copper Metabolism	1
Epilepsy	Disorders of Fatty Acid Oxidation	1
Epilepsy	Disorders of Phosphorous Metabolism	1
Epilepsy	Disorders of Straight Chain Amino Acid Metabolism	1
Epilepsy	Disorders of Urea Cycle Metabolism	1
Epilepsy	Dopa-Responsive Dystonia	1
Epilepsy	Facial and Skull Anomalies	1
Epilepsy	Familial Dysautonomia	1
Epilepsy	Familial Mediterranean Fever	1
Epilepsy	Fragile-X Syndrome	1
Epilepsy	Friedreich Ataxia	1
Epilepsy	Genetic Anomalies of Leukocytes	1
Epilepsy	Glucose-6-Phosphate Dehydrogenase Deficiency	1
Epilepsy	Glycogenosis	1
Epilepsy	Haemophilia	1
Epilepsy	Hereditary Hemorrhagic Telangiectasia	1
Epilepsy	Hereditary Muscular Dystrophy	1
Epilepsy	Hereditary Sensory Neuropathy	1
Epilepsy	Hereditary Thrombocytopenic Purpura	1
Epilepsy	Holoprosencephaly	1
Epilepsy	Huntington Disease	1
Epilepsy	Hypopituitarism	1
Epilepsy	Immunodeficiency with Increased IgM	1
Epilepsy	Indeterminate Sex and Pseudohermaphroditism	1
Epilepsy	Inherited Adrenogenital Disorders	1
Epilepsy	Inherited Anomalies of the Skin	1
Epilepsy	Li Fraumeni and Related Syndromes	1
Epilepsy	Lipoprotein Deficiencies	1
Epilepsy	Long QT Syndrome	1
Epilepsy	Marfan Syndrome	1
Epilepsy	Neurofibromatosis	1
Epilepsy	Non-Specific Autosomal Deletion Syndromes	1
Epilepsy	Non-Specified Osteodystrophy	1
Epilepsy	Osteogenesis Imperfecta	1
Epilepsy	Other Specified Disorders of Amino Acid Metabolism	1
Epilepsy	Peroxisomal Disorders	1
Epilepsy	Pervasive, Specified Congenital Anomalies	1
Epilepsy	Phenylketonuria	1
Epilepsy	Polycystic Kidney, Autosomal Dominant	1
Epilepsy	Retinitis Pigmentosa	1
Epilepsy	Rett Syndrome	1
Epilepsy	Sensory Retina Dystropies	1
Epilepsy	Severe Combined Immunodeficiency	1
Epilepsy	Sickle Cell Anemia	1
Epilepsy	Smith-Magenis Syndrome	1
Epilepsy	Specific Nail Anomalies	1
Epilepsy	Specified Anomalies of the Musculoskeletal System	1
Epilepsy	Specified Hamartoses	1
Epilepsy	Spinocerebellar Ataxia	1
Epilepsy	Systemic Primary Carnitine Deficiency	1
Epilepsy	Thalassemia	1
Epilepsy	Tongue Tie	1
Epilepsy	Tuberous Sclerosis	1
Epilepsy	Velo-Cardio-Facial Syndrome	1
Epilepsy	Wiskott-Aldrich Syndrome	1
Gastric Cancer	Cerebral Degeneration Due to Generalized Lipidoses	1
Gastric Cancer	Chronic Granulomatous Disease	1
Gastric Cancer	Combined Heart and Skeletal Defects	1
Gastric Cancer	Disorders of Phosphorous Metabolism	1
Gastric Cancer	Disorders of Straight Chain Amino Acid Metabolism	1
Gastric Cancer	Disorders of Urea Cycle Metabolism	1
Gastric Cancer	Genetic Anomalies of Leukocytes	1
Gastric Cancer	Haemophilia	1
Gastric Cancer	Hereditary Sensory Neuropathy	1
Gastric Cancer	Li Fraumeni and Related Syndromes	1
Gastric Cancer	Lipoprotein Deficiencies	1
Gastric Cancer	Long QT Syndrome	1
Gastric Cancer	Multiple Endocrine Neoplasia Type I	1
Gastric Cancer	Neurofibromatosis	1
Gastric Cancer	Sickle Cell Anemia	1
Gastric Cancer	Specified Hamartoses	1
Gastric Cancer	Thalassemia	1
General Frontotemporal Dementia	Congenital Hydrocephalus	1
General Frontotemporal Dementia	Degenerative Diseases of the Basal Ganglia	1
General Frontotemporal Dementia	Disorders of Phosphorous Metabolism	1
General Frontotemporal Dementia	Huntington Disease	1
General Frontotemporal Dementia	Spinocerebellar Ataxia	1
Glaucoma	Achromatopsia	1
Glaucoma	Androgen Insensitivity Syndrome	1
Glaucoma	Anophthalmos/Micropthalmos	1
Glaucoma	Anterior Eye Anomalies	1
Glaucoma	Autoimmune Lymphoproliferative Syndrome	1
Glaucoma	Autoimmune Polyglandular Syndrome	1
Glaucoma	Cerebral Degeneration Due to Generalized Lipidoses	1
Glaucoma	Chronic Granulomatous Disease	1
Glaucoma	Chronic Progressive External Ophthalmoplegia	1
Glaucoma	Circulating Enzyme Deficiencies	1
Glaucoma	Combined Heart and Skeletal Defects	1
Glaucoma	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Glaucoma	Congenital Hypogammaglobulinemia	1
Glaucoma	Congenital Ichthyosis	1
Glaucoma	Cystic Fibrosis	1
Glaucoma	Degenerative Diseases of the Basal Ganglia	1
Glaucoma	Diamond-Blackfan Anemia	1
Glaucoma	Disorders of Aromatic Amino Acid Metabolism	1
Glaucoma	Disorders of Copper Metabolism	1
Glaucoma	Disorders of Phosphorous Metabolism	1
Glaucoma	Disorders of Straight Chain Amino Acid Metabolism	1
Glaucoma	Disorders of Urea Cycle Metabolism	1
Glaucoma	Dopa-Responsive Dystonia	1
Glaucoma	Erythromelalgia	1
Glaucoma	Facial and Skull Anomalies	1
Glaucoma	Familial Dysautonomia	1
Glaucoma	Friedreich Ataxia	1
