drug_target	db_id	drug_name
SMG6	DB05036	Grn163l
SCYL1	DB05036	Grn163l
TERT	DB05036	Grn163l
PTGES3	DB05036	Grn163l
BDKRB2	DB05038	Anatibant
ADRB2	DB05039	Indacaterol
HTR6	DB05042	SGS518
NPY4R	DB05045	Obinepitide
NPY2R	DB05045	Obinepitide
OPRK1	DB05046	V1003
OPRM1	DB05046	V1003
BDNF	DB05047	CX-717
GRIA4	DB05047	CX-717
GRIA3	DB05047	CX-717
GRIA1	DB05047	CX-717
GRIA2	DB05047	CX-717
HTR3A	DB05049	DDP733
OPRD1	DB05050	ADL5859
ESR2	DB05052	MF101
FBP1	DB05053	MB-07803
HSD11B1	DB05064	INCB13739
CHRNA9	DB05069	ATG003
CHRNA10	DB05069	ATG003
GRM5	DB05070	ADX10059
TACR1	DB05072	AV608
CSK	DB05075	TG-100801
FLT4	DB05075	TG-100801
FLT1	DB05075	TG-100801
KDR	DB05075	TG-100801
CNR1	DB05077	SLV319
IL4R	DB05078	AER001
IL13RA2	DB05078	AER001
HTR2A	DB05079	HY10275
HRH1	DB05079	HY10275
HRH3	DB05080	OBE101
HRH1	DB05080	OBE101
PTH1R	DB05084	Abaloparatide
NPY4R	DB05085	TM30339
GABRA4	DB05087	Ganaxolone
GABRA6	DB05087	Ganaxolone
GABRA5	DB05087	Ganaxolone
GABRA2	DB05087	Ganaxolone
GABRA3	DB05087	Ganaxolone
GABRA1	DB05087	Ganaxolone
APP	DB05088	Tetrathiomolybdate
AVPR2	DB05091	M0002
ITGA4	DB05092	CDP323
PTGS2	DB05095	Cimicoxib
GRM2	DB05096	LY2140023
GRM3	DB05096	LY2140023
CEACAM5	DB05097	Labetuzumab
LEPR	DB05098	Leptin
FGA	DB05099	Ancrod
EGFR	DB05101	Matuzumab
OPRK1	DB05104	Asimadoline
G6PD	DB05107	16-Bromoepiandrosterone
IFNG	DB05110	VIR201
IFNG	DB05111	Fontolizumab
INSR	DB05115	NN344
TYMS	DB05116	Thymectacin
PLA2G7	DB05119	Rilapladib
INSR	DB05120	AT1391
HLA-DRA	DB05121	1D09C3
HLA-DRB3	DB05121	1D09C3
HLA-DRB4	DB05121	1D09C3
HLA-DRB5	DB05121	1D09C3
HLA-DRB1	DB05121	1D09C3
ITGB4	DB05122	R1295
ITGB7	DB05122	R1295
ITGA4	DB05122	R1295
DHODH	DB05125	SC12267
TLR7	DB05127	ANA971
TOP1	DB05129	Elsamitrucin
TOP2A	DB05129	Elsamitrucin
CCR2	DB05130	INCB3284
F9	DB05131	TTP889
IL1B	DB05133	VP025
HSP90AB1	DB05134	Tanespimycin
HSP90AA1	DB05134	Tanespimycin
CHRNA9	DB05137	Lobeline
CHRNA10	DB05137	Lobeline
CHRNA7	DB05137	Lobeline
PDGFD	DB05139	CR002
BIRC5	DB05141	LY2181308
PDE2A	DB05142	ND7001
PDGFRA	DB05146	XL820
PDGFRB	DB05146	XL820
KIT	DB05146	XL820
KDR	DB05146	XL820
TUBA3E	DB05147	CYT997
TUBA4B	DB05147	CYT997
TUBB2A	DB05147	CYT997
TUBB2B	DB05147	CYT997
TUBB6	DB05147	CYT997
TUBA1B	DB05147	CYT997
TUBA1C	DB05147	CYT997
TUBB4A	DB05147	CYT997
TUBA3C	DB05147	CYT997
TUBB3	DB05147	CYT997
TUBA4A	DB05147	CYT997
TUBB1	DB05147	CYT997
TUBA1A	DB05147	CYT997
TUBB4B	DB05147	CYT997
TUBB	DB05147	CYT997
CHEK2	DB05149	XL844
CHEK1	DB05149	XL844
APP	DB05150	CAD106
CHRM1	DB05152	NGX267
OPRK1	DB05155	CR665
MAPK11	DB05157	KC706
MAPK13	DB05157	KC706
MAPK12	DB05157	KC706
MAPK14	DB05157	KC706
CCR2	DB05159	CCX915
PRTN3	DB05161	Elafin
ELANE	DB05161	Elafin
BCR/ABL fusion	DB05164	CMLVAX100
EIF4E	DB05165	LY2275796
GPR119	DB05166	APD668
FOLR2	DB05168	Vintafolide
FOLR3	DB05168	Vintafolide
FOLR1	DB05168	Vintafolide
AURKA	DB05169	AT9283
AURKB	DB05169	AT9283
APH1A	DB05171	E-2012
PSENEN	DB05171	E-2012
LTA4H	DB05177	DG051
IKBKB	DB05183	MLN0415
ABL2	DB05184	XL228
ABL1	DB05184	XL228
IGF1R	DB05184	XL228
SRC	DB05184	XL228
PPARD	DB05187	Elafibranor
PPARA	DB05187	Elafibranor
PPARG	DB05187	Elafibranor
PPARD	DB05188	KD3010
BRAF	DB05190	XL281
RAF1	DB05190	XL281
ADORA2A	DB05191	Atl146e
THRB	DB05192	MB07811
CSF2	DB05194	KB002
CSF2RA	DB05194	KB002
AURKA	DB05198	CYC116
KDR	DB05198	CYC116
TPH1	DB05199	LX1031
GAA	DB05200	AT2220
CNR1	DB05201	V24343
GP1BA	DB05202	Egaptivon pegol
VWF	DB05202	Egaptivon pegol
ACE2	DB05203	SPP1148
REN	DB05203	SPP1148
BTK	DB05204	XL418
MAOA	DB05205	CX157
IL1R1	DB05207	SD118
TNF	DB05207	SD118
RHD	DB05209	Rozrolimupab
PIK3R1	DB05210	SF1126
PIK3R2	DB05210	SF1126
PIK3R3	DB05210	SF1126
PRKDC	DB05210	SF1126
MTOR	DB05210	SF1126
NFKB2	DB05212	HE3286
NFKB1	DB05212	HE3286
NOS2	DB05214	KD7040
NAMPT	DB05217	GMX1777
TNF	DB05218	PN0621
PDE4C	DB05219	Crisaborole
PDE4A	DB05219	Crisaborole
PDE4D	DB05219	Crisaborole
PDE4B	DB05219	Crisaborole
AURKA	DB05220	Alisertib
HDAC3	DB05223	Pracinostat
HDAC6	DB05223	Pracinostat
HDAC1	DB05223	Pracinostat
HDAC2	DB05223	Pracinostat
ALOX5AP	DB05225	AM103
HTR2A	DB05227	APD791
PTGIR	DB05229	Beraprost
SCN8A	DB05232	Tetrodotoxin
SCN3A	DB05232	Tetrodotoxin
SCN2A	DB05232	Tetrodotoxin
SCN1A	DB05232	Tetrodotoxin
ESR1	DB05233	AP1081
AR	DB05234	LGD2941
CRYM	DB05235	NRP409
THRA	DB05235	NRP409
MAP2K1	DB05239	Cobimetinib
PIK3CD	DB05241	XL765
PIK3CB	DB05241	XL765
PIK3CA	DB05241	XL765
PIK3CG	DB05241	XL765
MTOR	DB05241	XL765
JAK2	DB05243	XL019
CACNA1G	DB05246	Methsuximide
CSF3R	DB05249	FavId
NOS2	DB05252	Fenoxaprop-ethyl
PGR	DB05253	Telapristone acetate
SERPINE1	DB05254	Fibrinolysin
PLAU	DB05254	Fibrinolysin
CASR	DB05255	Ronacaleret
IFNAR1	DB05258	Interferon alfa
HLA-DRB1	DB05259	Glatiramer
ATP6V1B2	DB05260	Gallium nitrate
RRM2	DB05260	Gallium nitrate
BGLAP	DB05260	Gallium nitrate
IL1B	DB05260	Gallium nitrate
XDH	DB05262	Oxypurinol
CSF2RB	DB05264	NPI 32101
NOXO1	DB05265	Ecabet
PDE4C	DB05266	Ibudilast
PDE3A	DB05266	Ibudilast
PDE4A	DB05266	Ibudilast
PDE4D	DB05266	Ibudilast
PDE4B	DB05266	Ibudilast
RAF1	DB05268	iCo-007
DRD5	DB05271	Rotigotine
DRD4	DB05271	Rotigotine
DRD3	DB05271	Rotigotine
ADRA2B	DB05271	Rotigotine
DRD1	DB05271	Rotigotine
HTR1A	DB05271	Rotigotine
DRD2	DB05271	Rotigotine
AIFM1	DB05282	MCC
TUBB	DB05284	CA4P
IKBKG	DB05289	Tarenflurbil
EDNRA	DB05290	SPP 301
PTK6	DB05294	Vandetanib
TEK	DB05294	Vandetanib
RET	DB05294	Vandetanib
VEGFA	DB05294	Vandetanib
EGFR	DB05294	Vandetanib
VDR	DB05295	Eldecalcitol
BCL2	DB05297	Paclitaxel docosahexaenoic acid
PDE4D	DB05298	Tetomilast
IL2	DB05299	Keyhole limpet hemocyanin
PLD1	DB05301	LAX-101
CASP1	DB05301	LAX-101
IL1R1	DB05303	OMS-103HP
TNF	DB05303	OMS-103HP
CA9	DB05304	Girentuximab
IL2	DB05304	Girentuximab
IL13	DB05305	Cintredekin besudotox
TYMS	DB05308	ANX-510
FGF4	DB05309	TP-508
KLKB1	DB05311	Ecallantide
SIGMAR1	DB05316	Pimavanserin
HTR2C	DB05316	Pimavanserin
HTR2A	DB05316	Pimavanserin
FDFT1	DB05317	TAK-475
HMGCR	DB05317	TAK-475
EPCAM	DB05319	Oportuzumab monatox
AKR1B1	DB05327	Ranirestat
MPL	DB05332	Romiplostim
GLIPR1	DB05337	SOT-107
HTR1A	DB05339	MN-305
S100B	DB05343	Arundic acid
HRH1	DB05345	SO-101
ATP4B	DB05351	Dexlansoprazole
DDAH1	DB05351	Dexlansoprazole
ATP4A	DB05351	Dexlansoprazole
F2R	DB05361	SR-123781A
SERPINC1	DB05361	SR-123781A
F10	DB05362	SSR-126517E
CCL3	DB05364	ROX-888
EDNRA	DB05367	Actelion-1
HRH2	DB05369	HZT-501
EGFR	DB05374	Rindopepimut
HRH3	DB05381	Histamine
HRH4	DB05381	Histamine
SLC18A2	DB05381	Histamine
HRH2	DB05381	Histamine
HRH1	DB05381	Histamine
SLC5A5	DB05382	Iodine
TIMP3	DB05383	Pimagedine
AKR1B1	DB05383	Pimagedine
NOS2	DB05383	Pimagedine
CSF2RA	DB05386	Regramostim
MMP2	DB05387	AE-941
MMP12	DB05387	AE-941
MMP9	DB05387	AE-941
MAEA	DB05389	Tetrachlorodecaoxide
CD163	DB05389	Tetrachlorodecaoxide
P2RY2	DB05390	INS 316
GP1BA	DB05391	liposomal prostaglandin E1
ADRB3	DB05395	Amibegron
CD9	DB05398	C31G
VCAM1	DB05399	Succinobucol
MAPK12	DB05403	CEP-1347
TP53	DB05404	AZD 3355
EDN1	DB05407	TBC-3711
CASP7	DB05408	Emricasan
CASP1	DB05408	Emricasan
CASP3	DB05408	Emricasan
MT-CO2	DB05412	Talmapimod
IL1B	DB05412	Talmapimod
TNF	DB05412	Talmapimod
MAPK14	DB05412	Talmapimod
SERPINA5	DB05413	Tifuvirtide
PDE5A	DB05415	OSI-461
PPARD	DB05416	Cardarine
PPARA	DB05416	Cardarine
GLRA1	DB05417	GW 468816
TACR1	DB05418	GW 597599
CALY	DB05419	ADX-10061
RRM1	DB05420	Gallium maltolate
TACR1	DB05421	CP-122721
SLC6A4	DB05422	OPC-14523
NR3C1	DB05423	ORG-34517
EGFR	DB05424	Canertinib
TXNRD2	DB05428	Motexafin gadolinium
RRM2	DB05428	Motexafin gadolinium
TXNRD1	DB05428	Motexafin gadolinium
CCL11	DB05429	CAT-213
ALOX5	DB05431	MLN-977
CALY	DB05432	DAS-431 IV
CXCL8	DB05434	ABT-510
HGF	DB05434	ABT-510
FGF2	DB05434	ABT-510
VEGFA	DB05434	ABT-510
IL1B	DB05442	Etiprednol dicloacetate
OPRK1	DB05443	ADL 10-0101
APOH	DB05446	LJP 1082
HNF4A	DB05447	AVI-4557
TXNRD1	DB05448	PX-12
ABCB1	DB05449	FM-VP4
NFKB2	DB05451	P54
NFKB1	DB05451	P54
AVPR1B	DB05452	PH-284
AVPR1A	DB05452	PH-284
AVPR1B	DB05455	SR 121463
TYMS	DB05457	OSI-7904L
CHRNB2	DB05458	Pozanicline
CHRNA4	DB05458	Pozanicline
IL23A	DB05459	Briakinumab
IL12B	DB05459	Briakinumab
GSTP1	DB05460	Ezatiostat
HTR2B	DB05461	OPC-28326
ADRA2C	DB05461	OPC-28326
ADRA2B	DB05461	OPC-28326
TLR9	DB05463	ISS-1018
NFKB2	DB05464	NOX-700
NFKB1	DB05464	NOX-700
PDGFD	DB05465	Tandutinib
FLT3	DB05465	Tandutinib
TACR1	DB05466	R673
RARG	DB05467	R667
ITGA4	DB05468	R411
ADRA1D	DB05469	R450
ADRA1B	DB05469	R450
ADRA1A	DB05469	R450
IL6	DB05470	VX-702
IL1B	DB05470	VX-702
TNF	DB05470	VX-702
MAPK14	DB05470	VX-702
NFKB2	DB05471	SGN-30
NFKB1	DB05471	SGN-30
IFNAR2	DB05472	Human interferon omega-1
IFNAR1	DB05472	Human interferon omega-1
TLR2	DB05475	Golotimod
TLR9	DB05475	Golotimod
TLR7	DB05475	Golotimod
TLR4	DB05475	Golotimod
PLAUR	DB05476	WX-UK1
CYP3A4	DB05478	Pradefovir mesylate
MC1R	DB05479	CZEN 002
SERPINA1	DB05481	Recombinant alpha 1-antitrypsin
TOP1	DB05482	7-ethyl-10-hydroxycamptothecin
UBR4	DB05483	PCL-016
ZFY	DB05483	PCL-016
CXCL8	DB05484	MDX-018
NFKB2	DB05487	Custirsen
NFKB1	DB05487	Custirsen
ESR1	DB05487	Custirsen
TOP2B	DB05488	Technetium Tc-99m ciprofloxacin
PPARG	DB05490	AMG-131
OPRL1	DB05492	Epicept NP-1
HTR2B	DB05492	Epicept NP-1
ADRA2C	DB05492	Epicept NP-1
ADRA1D	DB05492	Epicept NP-1
ADRA2B	DB05492	Epicept NP-1
OPRM1	DB05492	Epicept NP-1
ADRA1B	DB05492	Epicept NP-1
ADRA2A	DB05492	Epicept NP-1
HTR2C	DB05492	Epicept NP-1
HTR2A	DB05492	Epicept NP-1
ADRA1A	DB05492	Epicept NP-1
HRH1	DB05492	Epicept NP-1
DCK	DB05494	Elacytarabine
MMP9	DB05495	PG-530742
CCR5	DB05501	AMD-070
CXCR4	DB05501	AMD-070
TBXAS1	DB05505	NM-702
PTPN1	DB05506	ISIS 113715
CASP1	DB05507	VX-765
IL1B	DB05507	VX-765
OPRM1	DB05509	LI-301
HTR1A	DB05509	LI-301
ADORA3	DB05511	Piclidenoson
IL6	DB05513	Atiprimod
TNF	DB05513	Atiprimod
CLCN2	DB05514	Cobiprostone
FBP1	DB05518	Managlinat dialanetil
SLCO2B1	DB05521	Telaprevir
SLCO1B1	DB05521	Telaprevir
EGFR	DB05524	Pelitinib
TLR9	DB05530	CPG 10101
FFAR4	DB05532	BMS-488043
AKR1B1	DB05533	QR-333
ADSS	DB05540	Alanosine
ADSSL1	DB05540	Alanosine
SV2A	DB05541	Brivaracetam
SCN1A	DB05541	Brivaracetam
SCN10A	DB05541	Brivaracetam
SCN11A	DB05541	Brivaracetam
SCN2A	DB05541	Brivaracetam
SCN3A	DB05541	Brivaracetam
SCN4A	DB05541	Brivaracetam
SCN5A	DB05541	Brivaracetam
SCN7A	DB05541	Brivaracetam
SCN8A	DB05541	Brivaracetam
SCN9A	DB05541	Brivaracetam
SCN1B	DB05541	Brivaracetam
SCN2B	DB05541	Brivaracetam
SCN3B	DB05541	Brivaracetam
SCN4B	DB05541	Brivaracetam
HTR4	DB05542	Naronapride
PIK3CD	DB05552	TG100-115
PIK3CG	DB05552	TG100-115
P2RY12	DB05553	Regrelor
NFKB2	DB05559	NF-kappaB Decoy
NFKB1	DB05559	NF-kappaB Decoy
HTR1A	DB05562	Naluzotan
KDR	DB05578	Ramucirumab
ADRB2	DB05590	Bedoradrine
FOLR1	DB05595	Farletuzumab
HTR2B	DB05607	PRX-08066
GNRHR	DB05624	Teverelix
TOP1	DB05630	Sodium stibogluconate
HTR3A	DB05642	DDP-225
SLC6A2	DB05642	DDP-225
ESR1	DB05662	NP-50301
CYP11B1	DB05667	Levoketoconazole
CYP51A1	DB05667	Levoketoconazole
DNMT1	DB05668	Palifosfamide
FGA	DB05675	EP-2104R
PDE4	DB05676	Apremilast
MTTP	DB05678	SLx-4090
IL12B	DB05679	Ustekinumab
IL23A	DB05679	Ustekinumab
CDH5	DB05685	FX06
HTR2A	DB05687	BL-1020
DRD2	DB05687	BL-1020
SLC6A4	DB05688	CRx-119
SLC6A2	DB05688	CRx-119
CASR	DB05695	NPS-2143
TGFB2	DB05697	Trabedersen
TOP2A	DB05706	13-deoxydoxorubicin
CHRNA7	DB05708	GTS-21
CHRNA3	DB05710	Gantacurium
CPB2	DB05712	AZD-9684
F10	DB05713	LY-517717
F2	DB05714	Flovagatran
CTSK	DB05736	MIV-701
PLA2G10	DB05737	Varespladib methyl
PLA2G2A	DB05737	Varespladib methyl
AGTR2	DB05739	CYT006-AngQb
AGTR1	DB05739	CYT006-AngQb
CHRNA9	DB05740	RPI-78M
CHRNA10	DB05740	RPI-78M
CHRNB2	DB05740	RPI-78M
CHRNA2	DB05740	RPI-78M
CHRNA7	DB05740	RPI-78M
CHRNA4	DB05740	RPI-78M
IL10	DB05744	CRx-139
CRP	DB05744	CRx-139
IL6	DB05744	CRx-139
TNF	DB05744	CRx-139
CYP19A1	DB05749	MPI-674
CNR1	DB05750	AVE-1625
CHRM5	DB05752	ALKS 27
CHRM4	DB05752	ALKS 27
CHRM3	DB05752	ALKS 27
CHRM2	DB05752	ALKS 27
CHRM1	DB05752	ALKS 27
TNF	DB05758	CYT007-TNFQb
DRD3	DB05766	ACP-104
CHRM1	DB05766	ACP-104
DRD2	DB05766	ACP-104
IL6	DB05767	Andrographolide
NFKB2	DB05767	Andrographolide
IL1B	DB05767	Andrographolide
NFKB1	DB05767	Andrographolide
TNF	DB05767	Andrographolide
IL10	DB05771	LLL-3348
ERBB2	DB05773	Trastuzumab emtansine
F5	DB05777	Thrombomodulin Alfa
F2	DB05777	Thrombomodulin Alfa
JUN	DB05785	LGD-1550
RARB	DB05785	LGD-1550
RARA	DB05785	LGD-1550
RARG	DB05785	LGD-1550
FUBP1	DB05786	Irofulven
ITGB3	DB05787	LM-609
TACR1	DB05790	SR 140333
SIGMAR1	DB05792	Arylacenamide
FFAR4	DB05793	PRO-542
MME	DB05796	Daglutril
FCER1A	DB05797	TNX-901
PRKAR2A	DB05798	GEM-231
PRKAR1A	DB05798	GEM-231
RRM2	DB05801	GTI 2040
TOP1	DB05806	Cositecan
CYP17A1	DB05812	Abiraterone
FKBP1A	DB05814	GPI-1485
GRIN1	DB05824	CNS-5161
PTH2R	DB05829	Parathyroid hormone
PTH1R	DB05829	Parathyroid hormone
EPCAM	DB05831	ING-1
AVPR2	DB05838	OPC-51803
APP	DB05846	Mito-4509
IL12B	DB05848	humanized SMART Anti-IL-12 Antibody
ADRB2	DB05849	NCX 950
PPARG	DB05854	CLX-0921
CXCL8	DB05855	Rivanicline
CHRNB2	DB05855	Rivanicline
METAP2	DB05864	PPI-2458
ST3GAL5	DB05867	99mTc-14 F7 Mab
HMGB1	DB05869	Ethyl pyruvate
TNF	DB05869	Ethyl pyruvate
TNF	DB05879	AME-527
ESR2	DB05882	CHF 4227
ESR1	DB05882	CHF 4227
PTH	DB05883	ABX-PTH
GLRA1	DB05885	Seletracetam
GLRB	DB05885	Seletracetam
SV2A	DB05885	Seletracetam
CACNA1B	DB05885	Seletracetam
CD22	DB05889	Inotuzumab ozogamicin
VEGFA	DB05890	Veglin
NGF	DB05892	RI 624
TNFRSF10B	DB05895	HGS-TR2J
IGF1R	DB05897	rhIGFBP-3
HTR4	DB05905	TD-2749
CCR5	DB05906	CCR5 mAb
FLT1	DB05913	OSI-930
KIT	DB05913	OSI-930
MSTN	DB05915	MYO-029
PDCD1	DB05916	CT-011
TOP2A	DB05920	RTA 744
NR1I2	DB05928	Dovitinib
MPL	DB05930	SB-559448
KDR	DB05931	Pegdinetanib
FLT4	DB05932	Denibulin
FLT1	DB05932	Denibulin
VEGFA	DB05932	Denibulin
CXCL12	DB05934	CTCE-0214
ADORA2B	DB05936	CVT-6883
APP	DB05938	Edonerpic
GPER1	DB05939	MK-0354
CCR5	DB05941	Leronlimab
IL2RG	DB05943	Resatorvid
CSF2RB	DB05943	Resatorvid
ERBB2	DB05944	Varlitinib
EGFR	DB05944	Varlitinib
ANTXR2	DB05945	MDX-1303
ANTXR1	DB05945	MDX-1303
CACNA1B	DB05950	Contulakin-G
GRIN2B	DB05956	EVT-101
RXRA	DB05956	EVT-101
TNFRSF11A	DB05959	ENMD-1198
STAT3	DB05959	ENMD-1198
HIF1A	DB05959	ENMD-1198
SERPING1	DB05961	PPL-100
SERPINA5	DB05961	PPL-100
SERPINA1	DB05961	PPL-100
SLC6A4	DB05964	Amitifadine
SLC6A2	DB05964	Amitifadine
DRD2	DB05964	Amitifadine
ESR2	DB05966	TAS-108
ESR1	DB05966	TAS-108
KISS1R	DB05967	ANZ-100
TNF	DB05968	PR-104
CDK7	DB05969	SNS-032
VEGFA	DB05969	SNS-032
AKT1	DB05971	Archexin
NFKBIA	DB05983	Bardoxolone methyl
BRAF	DB05984	RAF-265
KDR	DB05984	RAF-265
NR1H4	DB05990	Obeticholic acid
TNF	DB05992	Plinabulin
HTR6	DB05993	PRX-07034
GPNMB	DB05996	Glembatumumab vedotin
DPP4	DB06011	AMG-222
TOP2A	DB06013	Aldoxorubicin
HTR2B	DB06016	Cariprazine
DRD3	DB06016	Cariprazine
HTR1A	DB06016	Cariprazine
HTR2A	DB06016	Cariprazine
DRD2	DB06016	Cariprazine
HRH1	DB06016	Cariprazine
ERBB2	DB06021	AV-412
EGFR	DB06021	AV-412
KIF11	DB06040	Filanesib
TUBB4A	DB06042	ZEN-012
TUBB3	DB06042	ZEN-012
TUBB1	DB06042	ZEN-012
TOP2B	DB06042	ZEN-012
TUBB	DB06042	ZEN-012
TOP2A	DB06042	ZEN-012
PDGFRA	DB06043	Olaratumab
F8	DB06050	TB-402
MAP3K1	DB06061	AZD-8330
PRKCE	DB06064	KAI-1455
TOP1	DB06069	XMT-1001
HSP90AB1	DB06070	SNX-5422
HSP90AA1	DB06070	SNX-5422
BACE1	DB06073	CTS-21166
INSR	DB06075	Linsitinib
IGF1R	DB06075	Linsitinib
GRIN2B	DB06077	Lumateperone
DRD1	DB06077	Lumateperone
SLC6A4	DB06077	Lumateperone
HTR2A	DB06077	Lumateperone
DRD2	DB06077	Lumateperone
CSF1R	DB06080	Linifanib
FLT3	DB06080	Linifanib
FLT4	DB06080	Linifanib
FLT1	DB06080	Linifanib
KIT	DB06080	Linifanib
KDR	DB06080	Linifanib
VWF	DB06081	Caplacizumab
HIF1A	DB06082	PX-478
CXCL8	DB06083	Tapinarof
IL12B	DB06083	Tapinarof
IL6	DB06083	Tapinarof
IL2	DB06083	Tapinarof
KCNQ4	DB06089	ICA-105665
KCNQ5	DB06089	ICA-105665
KCNQ1	DB06089	ICA-105665
KCNQ2	DB06089	ICA-105665
KCNQ3	DB06089	ICA-105665
CHRNA7	DB06090	Bradanicline
HSPB1	DB06094	Apatorsen
NOS1	DB06096	NXN-188
HTR1D	DB06096	NXN-188
HTR1B	DB06096	NXN-188
CENPE	DB06097	GSK-923295
VDAC2	DB06098	PRLX 93936
VDAC3	DB06098	PRLX 93936
FLT4	DB06101	IMC-1C11
FLT1	DB06101	IMC-1C11
KDR	DB06101	IMC-1C11
IMPDH1	DB06103	VX-148
IMPDH2	DB06103	VX-148
HTR2A	DB06109	YKP-1358
DRD2	DB06109	YKP-1358
CXCL10	DB06116	Eldelumab
CAPN3	DB06124	L-aminocarnityl-succinyl-leucyl-argininal-diethylacetal
DPP4	DB06127	Bisegliptin
AR	DB06133	Dimethylcurcumin
AURKC	DB06134	SNS-314
AURKA	DB06134	SNS-314
TUBB	DB06137	Tirbanibulin
SRC	DB06137	Tirbanibulin
EDNRB	DB06138	IRL-1620
HTR6	DB06140	SUVN-502
HTR6	DB06144	Sertindole
ADRA1D	DB06144	Sertindole
KCNH2	DB06144	Sertindole
ADRA1B	DB06144	Sertindole
HTR2C	DB06144	Sertindole
ADRA1A	DB06144	Sertindole
HTR2A	DB06144	Sertindole
DRD2	DB06144	Sertindole
HTR1F	DB06148	Mianserin
HRH4	DB06148	Mianserin
DRD1	DB06148	Mianserin
DRD5	DB06148	Mianserin
ADRA1A	DB06148	Mianserin
ADRA1B	DB06148	Mianserin
ADRA1D	DB06148	Mianserin
HTR6	DB06148	Mianserin
HTR7	DB06148	Mianserin
HTR2B	DB06148	Mianserin
ADRA2C	DB06148	Mianserin
DRD3	DB06148	Mianserin
ADRA2B	DB06148	Mianserin
OPRK1	DB06148	Mianserin
SLC6A3	DB06148	Mianserin
ADRA2A	DB06148	Mianserin
HTR2C	DB06148	Mianserin
SLC6A4	DB06148	Mianserin
SLC6A2	DB06148	Mianserin
HTR1A	DB06148	Mianserin
HTR2A	DB06148	Mianserin
HRH1	DB06148	Mianserin
DRD2	DB06148	Mianserin
ACY1	DB06151	Acetylcysteine
CHUK	DB06151	Acetylcysteine
SLC7A11	DB06151	Acetylcysteine
GRIN2D	DB06151	Acetylcysteine
GSS	DB06151	Acetylcysteine
GRIN2A	DB06151	Acetylcysteine
IKBKB	DB06151	Acetylcysteine
GRIN1	DB06151	Acetylcysteine
GRIN2B	DB06151	Acetylcysteine
GRIN3A	DB06151	Acetylcysteine
CACNA1I	DB06152	Nylidrin
IFNAR2	DB06152	Nylidrin
HTR2B	DB06153	Pizotifen
HTR1B	DB06153	Pizotifen
ADRA2C	DB06153	Pizotifen
ADRA1D	DB06153	Pizotifen
ADRA2B	DB06153	Pizotifen
ADRA1B	DB06153	Pizotifen
ADRA2A	DB06153	Pizotifen
HTR2C	DB06153	Pizotifen
CHRM3	DB06153	Pizotifen
HTR1A	DB06153	Pizotifen
CHRM2	DB06153	Pizotifen
ADRA1A	DB06153	Pizotifen
CHRM1	DB06153	Pizotifen
HTR2A	DB06153	Pizotifen
HRH1	DB06153	Pizotifen
HBB	DB06154	Pentaerythritol tetranitrate
HBA1	DB06154	Pentaerythritol tetranitrate
GPR55	DB06155	Rimonabant
CNR1	DB06155	Rimonabant
SLC6A3	DB06156	Tesofensine
SLC6A4	DB06156	Tesofensine
SLC6A2	DB06156	Tesofensine
ATP2A2	DB06157	Istaroxime
ATP1A1	DB06157	Istaroxime
TOP1	DB06159	Rubitecan
FCER2	DB06162	Lumiliximab
IL1B	DB06168	Canakinumab
SIGMAR1	DB06174	Noscapine
HDAC4	DB06176	Romidepsin
HDAC6	DB06176	Romidepsin
ABCC1	DB06176	Romidepsin
HDAC1	DB06176	Romidepsin
HDAC2	DB06176	Romidepsin
XIAP	DB06184	AEG35156
PNP	DB06185	Forodesine
CTLA4	DB06186	Ipilimumab
ADRB3	DB06190	Solabegron
ABCB1	DB06191	Zosuquidar
VDR	DB06194	Elocalcitol
CSNK1E	DB06195	Seliciclib
CDK9	DB06195	Seliciclib
CDK7	DB06195	Seliciclib
MAPK3	DB06195	Seliciclib
MAPK1	DB06195	Seliciclib
CDK1	DB06195	Seliciclib
CDK2	DB06195	Seliciclib
ANPEP	DB06196	Icatibant
BDKRB2	DB06196	Icatibant
EDNRA	DB06199	Atrasentan
SCN9A	DB06201	Rufinamide
GRM5	DB06201	Rufinamide
CNR2	DB06202	Lasofoxifene
ESR2	DB06202	Lasofoxifene
ESR1	DB06202	Lasofoxifene
DPP4	DB06203	Alogliptin
HTR3A	DB06204	Tapentadol
OPRD1	DB06204	Tapentadol
OPRK1	DB06204	Tapentadol
OPRM1	DB06204	Tapentadol
SLC6A4	DB06204	Tapentadol
SLC6A2	DB06204	Tapentadol
TGFB1	DB06205	Hyaluronidase (human recombinant)
KCNH2	DB06207	Silodosin
KCNH6	DB06207	Silodosin
KCNH7	DB06207	Silodosin
ADRA1D	DB06207	Silodosin
ADRA1B	DB06207	Silodosin
ADRA1A	DB06207	Silodosin
P2RY12	DB06209	Prasugrel
MPL	DB06210	Eltrombopag
AVPR1A	DB06212	Tolvaptan
AVPR2	DB06212	Tolvaptan
ADORA2A	DB06213	Regadenoson
HTR5A	DB06216	Asenapine
HRH2	DB06216	Asenapine
HTR6	DB06216	Asenapine
HTR7	DB06216	Asenapine
DRD4	DB06216	Asenapine
HTR2B	DB06216	Asenapine
HTR1B	DB06216	Asenapine
ADRA2C	DB06216	Asenapine
DRD3	DB06216	Asenapine
ADRA2B	DB06216	Asenapine
DRD1	DB06216	Asenapine
ADRB1	DB06216	Asenapine
ADRA2A	DB06216	Asenapine
HTR2C	DB06216	Asenapine
